Voltage (V)	Current (A)
0.0000	0.9549
0.1884	0.9530
0.3760	0.9474
0.5621	0.9380
0.7461	0.9249
0.9271	0.9082
1.1044	0.8879
1.2773	0.8640
1.4453	0.8368
1.6075	0.8063
1.7634	0.7726
1.9123	0.7358
2.0536	0.6961
2.1869	0.6537
2.3115	0.6087
2.4271	0.5613
2.5330	0.5117
2.6289	0.4600
2.7145	0.4066
2.7893	0.3515
2.8532	0.2951
2.9057	0.2375
2.9469	0.1789
2.9763	0.1197
2.9941	0.0600
3.0000	-0.0000
2.9941	-0.0600
2.9763	-0.1197
2.9469	-0.1789
2.9057	-0.2375
2.8532	-0.2951
2.7893	-0.3515
2.7145	-0.4066
2.6289	-0.4600
2.5330	-0.5117
2.4271	-0.5613
2.3115	-0.6087
2.1869	-0.6537
2.0536	-0.6961
1.9123	-0.7358
1.7634	-0.7726
1.6075	-0.8063
1.4453	-0.8368
1.2773	-0.8640
1.1044	-0.8879
0.9271	-0.9082
0.7461	-0.9249
0.5621	-0.9380
0.3760	-0.9474
0.1884	-0.9530
-0.0000	-0.9549
-0.1884	-0.9530
-0.3760	-0.9474
-0.5621	-0.9380
-0.7461	-0.9249
-0.9271	-0.9082
-1.1044	-0.8879
-1.2773	-0.8640
-1.4453	-0.8368
-1.6075	-0.8063
-1.7634	-0.7726
-1.9123	-0.7358
-2.0536	-0.6961
-2.1869	-0.6537
-2.3115	-0.6087
-2.4271	-0.5613
-2.5330	-0.5117
-2.6289	-0.4600
-2.7145	-0.4066
-2.7893	-0.3515
-2.8532	-0.2951
-2.9057	-0.2375
-2.9469	-0.1789
-2.9763	-0.1197
-2.9941	-0.0600
-3.0000	0.0000
-2.9941	0.0600
-2.9763	0.1197
-2.9469	0.1789
-2.9057	0.2375
-2.8532	0.2951
-2.7893	0.3515
-2.7145	0.4066
-2.6289	0.4600
-2.5330	0.5117
-2.4271	0.5613
-2.3115	0.6087
-2.1869	0.6537
-2.0536	0.6961
-1.9123	0.7358
-1.7634	0.7726
-1.6075	0.8063
-1.4453	0.8368
-1.2773	0.8640
-1.1044	0.8879
-0.9271	0.9082
-0.7461	0.9249
-0.5621	0.9380
-0.3760	0.9474
-0.1884	0.9530
0.0000	0.9549
0.1884	0.9530
0.3760	0.9474
0.5621	0.9380
0.7461	0.9249
0.9271	0.9082
1.1044	0.8879
1.2773	0.8640
1.4453	0.8368
1.6075	0.8063
1.7634	0.7726
1.9123	0.7358
2.0536	0.6961
2.1869	0.6537
2.3115	0.6087
2.4271	0.5613
2.5330	0.5117
2.6289	0.4600
2.7145	0.4066
2.7893	0.3515
2.8532	0.2951
2.9057	0.2375
2.9469	0.1789
2.9763	0.1197
2.9941	0.0600
3.0000	-0.0000
2.9941	-0.0600
2.9763	-0.1197
2.9469	-0.1789
2.9057	-0.2375
2.8532	-0.2951
2.7893	-0.3515
2.7145	-0.4066
2.6289	-0.4600
2.5330	-0.5117
2.4271	-0.5613
2.3115	-0.6087
2.1869	-0.6537
2.0536	-0.6961
1.9123	-0.7358
1.7634	-0.7726
1.6075	-0.8063
1.4453	-0.8368
1.2773	-0.8640
1.1044	-0.8879
0.9271	-0.9082
0.7461	-0.9249
0.5621	-0.9380
0.3760	-0.9474
0.1884	-0.9530
-0.0000	-0.9549
-0.1884	-0.9530
-0.3760	-0.9474
-0.5621	-0.9380
-0.7461	-0.9249
-0.9271	-0.9082
-1.1044	-0.8879
-1.2773	-0.8640
-1.4453	-0.8368
-1.6075	-0.8063
-1.7634	-0.7726
-1.9123	-0.7358
-2.0536	-0.6961
-2.1869	-0.6537
-2.3115	-0.6087
-2.4271	-0.5613
-2.5330	-0.5117
-2.6289	-0.4600
-2.7145	-0.4066
-2.7893	-0.3515
-2.8532	-0.2951
-2.9057	-0.2375
-2.9469	-0.1789
-2.9763	-0.1197
-2.9941	-0.0600
-3.0000	0.0000
-2.9941	0.0600
-2.9763	0.1197
-2.9469	0.1789
-2.9057	0.2375
-2.8532	0.2951
-2.7893	0.3515
-2.7145	0.4066
-2.6289	0.4600
-2.5330	0.5117
-2.4271	0.5613
-2.3115	0.6087
-2.1869	0.6537
-2.0536	0.6961
-1.9123	0.7358
-1.7634	0.7726
-1.6075	0.8063
-1.4453	0.8368
-1.2773	0.8640
-1.1044	0.8879
-0.9271	0.9082
-0.7461	0.9249
-0.5621	0.9380
-0.3760	0.9474
-0.1884	0.9530
